Orth,Phon
b,b
c,t͡ʃ
d,ð
d̩,ɖ
g,g
h,h
j,d͡ʒ
k,k
l,ɹ
m,m
n,n
ñ,ɲ
ŋ,ŋ
p,p
s,s
s̩,ʂ
t,t
w,w
y,j
',ʔ
a,a
i,i
e,ɨ
o,ɒ
u,u
a:,aː
i:,iː
e:,ɨː
o:,ɒː
u:,uː
ă,ă
ĭ,ĭ
ĕ,ɨ̆
ŏ,ɒ̆
