cyrillic,IPA
а,a
б,b
в,w
г,ɡ
гъ,ʁ
д,d
е,je
ж,ʒ
з,z
и,i
й,j
к,k
къ,q
кь,qʼ
кI,kʼ
л,l
м,m
н,n
о,o
п,p
р,r
с,s
т,t
тI,tʼ
у,u
уь,y
ф,f
х,χ
хъ,q
хь,x'
ц,ts
цI,tsʼ
ч,tʃ
чI,tʃʼ
ш,ʃ
ъ,ʕ
э,e
ю,ju
я,ja
