a,b,X,Y
% Telugu postprocessor
%
% Virama
ə్,,,
%
% ə -> 0 / _V
ə,,,(a|e|i|o|u|ru|l̩)
%
% Homorganic nasal
N,m,,(p|pʰ|b|b̤|m)
N,ŋ,,(k|kʰ|ɡ|ɡ̤|ŋ)
N,ɲ,,(t͡ʃ|t͡ʃʰ|d͡ʒ|d͡ʒ̤|ɲ)
N,n,,
