a,b,X,Y
% ə　→ 0/_V
ə,,,(ə|ɑ|ɪ|i|ʊ|u|e|ɛ|o|ɔ)
% ə　→ 0/_#
ə,,,#
% ə　→ 0/VC_CV
ə,,(ə|ɑ|ɪ|i|ʊ|u|e|ɛ|o|ɔ)(s|ɦ|k|kʰ|ɡ|k|ŋ|t͡ʃ|t͡ʃʰ|d͡ʒ|t͡ʃ|ɲ|ʈ|ʈʰ|ɖ|ʈ|ɳ|t̪|t̪ʰ|d̪|t̪|n|p|pʰ|b|p|m|j|ɾ|l|ʋ|ɽ|ʃ|x|ɣ|z|f|ɭ),(s|ɦ|k|kʰ|ɡ|k|ŋ|t͡ʃ|t͡ʃʰ|d͡ʒ|t͡ʃ|ɲ|ʈ|ʈʰ|ɖ|ʈ|ɳ|t̪|t̪ʰ|d̪|t̪|n|p|pʰ|b|p|m|j|ɾ|l|ʋ|ɽ|ʃ|x|ɣ|z|f|ɭ)(ə|ɑ|ɪ|i|ʊ|u|e|ɛ|o|ɔ)
