graph,phon
a,a
b,b
d,d̪
e,e
f,ɸ
g,ɡ
h,h
i,i
j,d͡ʒ
k,k
l,l
m,m
n,n
о,ɒ
p,p
q,q
r,r
s,s
t,t̪
u,u
v,v
x,χ
y,j
z,z
oʻ,o
gʻ,ʁ
sh,ʃ
ch,t͡ʃ
ng,ŋ
ʼ,ʔ
ye,je
yo,jɒ
yu,ju
ya,ja
ts,ts
