Orthographic,Phonetic
a,a
b,b
d,d
e,e
ẹ,ɛ
ẹn,ɛ̃
f,f
g,g
gb,g͡b
h,h
i,i
in,ĩ
j,d͡ʒ
k,k
l,l
m,m
n,n
o,o
ọ,ɔ
ọn,ɔ̃
p,k͡p
r,r
s,s
ṣ,ʃ
t,t
u,u
un,ũ
w,w
y,y
