Orthographic,Phonetic
a,a
b,b
c,t͡ʃ
d,d
ɗ,ɗ
e,e
f,ɸ
g,g
h,h
i,i
j,d͡ʒ
k,k
ƙ,kʼ
l,l
m,m
n,n
o,o
r,ɽ
r̃,r
s,s
sh,ʃ
t,t
ts,t͡s'
u,u
w,w
y,j
ƴ,ʔʲ
'y,ʔʲ
',ʔ
