Orthographic,Phonetic
م,m
ن,n
د,d
ت,t
ة,t
ب,b
پ,p
ف,f
ق,q
ك,k
ڭ,ŋ
گ,g
غ,ʁ
ھ,h
خ,χ
چ,t͡ʃ
ج,d͡ʒ
ژ,ʒ
ز,z
س,s
ش,ʃ
ر,r
ل,l
ئا,a
ئە,ɛ
ئې,e
ئى,i
ئۆ,ø
ئو,o
ئۇ,u
ئۈ,y
ئ,
ي,j
ۋ,w
ى,i
ا,a
ۇ,u
ۈ,y
ە,ɛ
ه,ɛ
و,o
ې,e
ۆ,ø
ص,sˤ
ع,ʔ
ذ,ð
ظ,ðˤ
ح,ħ
