Orthographic,Phonetic
ا ,ɑ
ب ,b
ۋ ,v
گ ع* ,ɡ
د ,d
ه ,je
يو ,jo
ج ,d͡ʒ
ز ,z
ى ,i
ي ,j
ك ق* ,k
ل ,l
م ,m
ن ,n
ڭ ,ŋ
و ,o
ۅ ,ø
پ ,p
ر ,r
س ,s
ت ,t
ۇ ,u
ۉ ,y
ف ,f
ح ,k
تس ,t͡s
چ ,t͡ʃ
ش ,ʃ
- ,ʃt͡ʃ
ى ,ɯ
ه ,e
يۋ ,ju
يا ,jɑ
