Orth,Phon
p,p
ph,pʰ
b,b
m,m
pj,pj
phj,pʰj
bj,bj
mj,mj
t,t
th,tʰ
d,d
n,n
tr,ʈ
trh,ʈʰ
dr,ɖ
nr,ɳ
k,k
kh,kʰ
g,g
ng,ŋ
ts,ts
tsh,tsʰ
dz,dz
s,s
z,z
tsr,ʈʂ
tshr,ʈʂʰ
dzr,ɖʐ
sr,ʂ
zr,ʐ
tsy,tɕ
tshy,tɕʰ
dzy,dʑ
sy,ɕ
zy,ʑ
',ʔ
x,x
h,ɣ
hj,ɣj
y,j
l,l
ny,ɲ
wng,ŋʷ
wk,kʷ
