Orth,Phon
a,a
b,b
c,t͡s
ĉ,t͡ʃ
d,d
e,e
f,f
g,ɡ
ĝ,d͡ʒ
h,h
ĥ,x
i,i
j,j
ĵ,ʒ
k,k
l,l
m,m
n,n
o,o
p,p
r,r
s,s
ŝ,ʃ
t,t
u,u
ŭ,w
v,v
z,z
aj,ai̯
aŭ,au̯
ej,ei̯
eŭ,eu̯
oj,oi̯
uj,ui̯
