Orth,Phon
ㄱ,k
ㄲ,k͈
ㄴ,n
ㄷ,t
ㄸ,t͈
ㄹ,
ㅁ,m
ㅂ,p
ㅃ,p͈
ㅅ,s
ㅆ,s͈
ㅇ,
ㅈ,t͡ɕ
ㅉ,t͡ɕ͈
ㅊ,t͡ɕʰ
ㅋ,kʰ
ㅌ,tʰ
ㅍ,pʰ
ㅎ,h
ㅣ,i
ㅔ,e
ㅚ,
ㅐ,ɛ
ㅏ,a
ㅗ,o
ㅜ,u
ㅓ,ʌ
ㅡ,ɯ
ㅢ,ɰi
ㅖ,je
ㅒ,jɛ
ㅑ,ja
ㅛ,jo
ㅠ,ju
ㅕ,jʌ
ㅟ,
ㅞ,we
ㅙ,wɛ
ㅘ,wa
ㅝ,wʌ
ㄳ,k̚
ㄺ,k̚
ㄵ,n
ㄶ,n
ㄽ,l
ㄾ,l
ㅀ,l
ㄼ,p̚
ㅄ,p̚
ㄿ,p̚
ㄻ,p̚
