Orth,Phon
او,aw
آ,ɑ
ا,ɑ
ای,ai
ی,i:
ۍ,əi
ئ,əi
ې,e
ي,i:
وو,uː
یو,ju
ؤ,ʔu
ۀ,ə
و,u
پ,p
ب,b
ت,t
ټ,ʈ
ث,s
ج,d͡ʒ
چ,t͡ʃ
څ,s
ځ,z
د,d
ډ,ɖ
ر,r
ړ,ɽ
ز,z
ژ,d͡ʒ
س,s
ش,ʃ
ښ,x
ص,s
ض,z
ط,t
ظ,z
ف,f
ق,q
ک,k
ګ,ɡ
ل,l
م,m
ن,n
غ,ɣ
خ,x
ه,h
ح,h
ع,ʔ
ء,ʔ
َ,a
ِ,i
ُ,u
ْ,0
