Orth,Phon
b,b
d,d
f,f
g,g
gj,ʝ
h,h
hv,v
j,j
k,k
kj,ç
ki,çi
tj,ç
l,l
m,m
n,n
ng,ŋ
ngj,ɲʝ
p,p
q,k
r,r
s,s
sj,ʃ
skj,ʃ
t,t
v,v
w,v
x,ks
z,s
i,i
ì,ɪ
y,y
ỳ,ʏ
u,ʉ
ung,uŋ
ù,ʊ
e,ɛ
è,ɛ
æ,æ
a,ɑ
ø,ø
o,u
ò,ɞ
å,o
au,œʊ
ei,ɛɪ
øy,œʏ
