Orth,Phon
a,a
aa,aː
b,b
c,c
cy,kj
d,d
e,e
ee,eː
f,f
g,ɡ
h,h
i,i
ii,iː
j,ɟ
jy,ɡj
k,k
l,l
m,m
n,n
ng,ŋ
nk,nk
nt,nt
ny,ɲ
o,o
p,p
r,ɾ
s,s
sh,xj
t,t
u,u
uu,uː
v,v
w,w
y,j
z,z
