Orth,Phon
b,p
d,t
g,k
c,ɕ
by,pʲ
mb,ɓ
nd,ɗ
gv,kʷ
gy,kʲ
m,m
n,n
ng,ŋ
ny,ɲ
f,f
s,θ
h,h
ngv,ŋʷ
v,β
l,l
r,ɣ
a,aː
i,i
u,u
e,e
o,oː
oe,o
ae,a
w,ɯ
