Orth,Phon
a,ɑ
b,b
c,d͡ʒ
ç,t͡ʃ
d,d
e,e
ə,æ
f,f
g,ɟ
ğ,ɣ
h,h
x,x
ı,ɯ
i,ɪ
j,ʒ
k,k
q,ɡ
l,l
m,m
n,n
o,ɔ
ö,œ
p,p
r,r
s,s
ş,ʃ
t,t
u,u
ü,y
v,v
y,j
z,z
