Orth,Phon
b,b
bb,b
ç,s
c,k
ch,ʃ
d,d
dd,d
f,f
ff,f
g,ɡ
ʒ,ʒ
Ʒ,ʒ
gn,ɲ
k,k
j,j
l,l
ll,l
m,m
mm,m
n,n
nn,n
ng,ŋ
p,p
pp,p
ph,f
r,r
s,s
ss,s
tt,t
t,t
th,t
v,v
w,w
z,z
a,a
à,a
â,ɑ
ai,ɛ
ain,ɛn
aî,ɛ
aï,ai
aie,ɛ
aou,au
aoû,au
au,o
ay,ɛ
aye,ɛj
e,ə
é,e
ée,e
è,ɛ
ê,ɛ
ɛ,ɛ
eau,o
ei,ɛ
eî,ɛ
eu,œ
eû,ø
i,i
î,i
ï,j
ie,i
o,ɔ
ô,o
œ,œ
oe,oe
oê,wa
oë,ɔɛ
œu,œ
oi,wa
oie,wa
oï,oi
ou,u
oû,u
oue,u
oy,way
u,y
û,y
ue,ɥɛ
ɥ,ɥ
cqu,k
cte,t
qu,k
ti,tj
uil,ɥil
il,il
ill,ij
ẫ,ɑ̃
aî̃,ɛ̃
œ̃,œ̃
ien,jɛ̃
õ,ɔ̃
uẽ,ɥɛ̃
ouễ,wɛ̃
