Orth,Phon
a,ɑ
ä,æ
b,b
v,v
g,ɡ
ğ,ʁ
d,d
e,i̯ɘ
yo,jo
j,ʒ
z,z
ï,əj
y,j
k,k
q,q
l,l
m,m
n,n
ñ,ŋ
o,wʊ
ö,ɥʉ
p,p
r,ɾ
s,s
t,t
w,w
u,ʊ
ü,ʉ
f,f
x,x
h,h
c,ts
ç,t͡ɕ
ş,ʃ
şş,ɕː
ı,ə
i,ɘ
é,e
yw,jʊw
ya,jɑ
