Orth,Phon
a,a
à,a
á,a
â,aː
ä,æ
æ,æ
ã,ã
å,ɑ
ā,aː
b,b
c,k
ç,s
ć,c
č,t͡ʃ
d,d
e,e
è,e
é,e
ê,e
ë,ə
ē,ẽ
ė,e
ę,ẽ
f,f
g,ɡ
h,h
i,i
î
ï
í
ī
į
ì
j,j
k,k
l,l
ł,w
m,m
n,n
ñ
ń
o,o
ô
ö
ò
ó
œ
ø
ō
õ
p,p
q,k
r,r
s,s
ß
ś
š
t,t
u,u
û
ü
ù
ú
ū
v,v
w,w
x,ks
y,y
ÿ
z,z
ž
ź
ż
