Orth,Phon
অ,ə
আ,a
ই,i
ঈ,i
উ,u
ঊ,u
ঋ,ɽi
ৠ,ɽiː
ঌ,li
ৡ,liː
এ,e
ঐ,oj
ও,o
ঔ,ow
া,a
ি,i
ী,i
ু,u
ূ,u
ৃ,ɽi
ৄ,ɽiː
ৢ,li
ৣ,liː
ে,e
ৈ,oj
ো,o
ৌ,ow
ক,kV
খ,kʰV
গ,ɡV
গ্,ɡV
ঘ,̤ɡ̤V
ঙ,ŋV
হ,ɦV
চ,t͡ʃV
ছ,t͡ʃʰV
জ,d͡ʒV
ঝ,d͡ʒV
ঞ,nV
য,d͡ʒV
শ,sV
ট,tV
ঠ,tʰV
ড,dV
ঢ,d̤V
ণ,nV
র,rV
ষ,ʃV
ত,tV
থ,tʰV
দ,dV
ধ,d̤V
ন,nV
ল,lV
স,sV
প,pV
ফ,fV
ব,bV
ভ,b̤V
ম,mV
ৱ,wV
ড়,ɽV
ঢ়,ɽ̤V
য়,jV
ৎ,tV
ং,ŋ
্,্
ঃ,ঃ
ঁ,̃
াঁ,̃
