Orth,Phon
a,a
b,b
c,t͡s
ç,t͡ʃ
d,d
dh,ð
e,ɛ
ë,ə
f,f
g,ɡ
gj,ɟ
h,h
i,i
j,j
k,k
l,l
ll,l
m,m
n,n
nj,ɲ
o,ɔ
p,p
q,c
r,ɾ
rr,r
s,s
sh,ʃ
t,t
th,θ
u,u
v,v
x,d͡z
xh,d͡ʒ
y,y
z,z
zh,ʒ
