Orth,Phon
ଅ,V
ଆ,a
ଇ,i
ଈ,i
ଉ,u
ଊ,u
ଋ,r̩
ୠ,r̩
ଌ,l̩
ୡ,l̩
ଏ,e
ଐ,ai
ଓ,o
ଔ,au
ା,a
ି,i
ୀ,i
ୁ,u
ୂ,u
ୃ,r̩
େ,e
ୈ,ai
ୋ,o
ୌ,au
କ,kV
ଖ,kʰV
ଗ,gV
ଘ,g̤V
ଙ,ŋV
ଚ,t͡ʃV
ଛ,t͡ʃʰV
ଜ,d͡ʒV
ଝ,d͡ʒ̤V
ଞ,ɲV
ଟ,ʈV
ଠ,ʈʰV
ଡ,ɖV
ଢ,ɖ̤V
ଣ,ɳV
ତ,tV
ଥ,tʰV
ଦ,dV
ଧ,d̤V
ନ,nV
ପ,pV
ଫ,pʰV
ବ,bV
ଭ,b̤V
ମ,mV
ଯ,d͡ʒV
ର,rV
ଳ,ɭV
ୱ,wV
ଵ,vV
ଶ,sV
ଷ,sV
ସ,sV
ହ,hV
କ୍ଷ,kʰjV
ୟ,jV
ଲ,lV
ଂ,<N>
ଁ,̃
