Orth,Phon
',ʔ
b,b
t,t
j,d͡ʒ
x,ħ
kh,χ
d,d
r,r
s,s
sh,ʃ
dh,ɖ
c,ʕ
g,ɡ
f,f
q,q
k,k
l,l
m,m
n,n
w,w
h,h
y,j
a,æ
e,e
i,i
o,ɔ
u,u
aa,æː
ee,eː
ii,iː
oo,ɔː
uu,uː
