a,b,X,Y
ti,t⁀ʃ,,[aeiou]
di,d⁀ʒ,,[aeiou]
si,ʃ,,[aeiou]
ni,nj,,[aeiou]
li,lj,,[aeiou]
u,w,.,[aeiou]
i,j,.,[aeiou]
