a,b,X,Y
ـ,,,
‎,,,
‏,,,
ﯪ,ئا,,
ﯰ,ئۇ,,
ﯬ,ئە,,
ﯮ,ئو,,
ﯲ,ئۆ,,
ﯻ,ئى,,
ﯴ,ئۈ,,
ﯸ,ئې,,
