a,b,X,Y
xc,ks,,[EeÉéÈèÊêËëIiÎîÏïYyŸÿ]
C,S,,[EeÉéÈèÊêËëIiÎîÏïYyŸÿ]
c,s,,[EeÉéÈèÊêËëIiÎîÏïYyŸÿ]
G,Ʒ,,[EeÉéÈèÊêËëIiÎîÏïYyŸÿ]
g,ʒ,,[EeÉéÈèÊêËëIiÎîÏïYyŸÿ]
Sc,S,,[EeÉéÈèÊêËëIiÎîÏïYyŸÿ]
sc,s,,[EeÉéÈèÊêËëIiÎîÏïYyŸÿ]
