a,b,X,Y
cci,t͡ʃː,,[aeou]
ci,t͡ʃ,,[aeou]
ggi,d͡ʒː,,[aeou]
gi,d͡ʒ,,[aeou]
cc,t͡ʃː,,[ie]
c,t͡ʃ,,[ie]
gg,d͡ʒː,,[ie]
g,d͡ʒ,,[ie]
