IPA,Reromanized
d͡ʒ,j
ɛ,a
ŋ,ng
o,oʻ
ʁ,gʻ
ʃ,sh
t͡s,ts
t͡ʃ,ch
ʔ,ʼ
g,ɡ
χ,x
ʒ,z
ø,o
y,u
j,y
